x,y,Uncertainty
11.76,56.74,4.0
17.95,98.86,4.0
17.83,88.27,4.0
16.32,86.48,4.0
0.72,6.2,4.0
13.84,73.42,4.0
7.57,33.95,4.0
10.37,61.19,4.0
13.16,69.34,4.0
3.88,17.97,4.0
5.45,36.56,4.0
14.37,75.28,4.0
15.66,78.24,4.0
17.01,84.95,4.0
15.5,86.04,4.0
0.73,9.69,4.0
2.33,13.51,4.0
15.03,80.3,4.0
4.78,18.56,4.0
5.1,32.25,4.0
17.15,88.73,4.0
19.0,96.13,4.0
11.23,57.46,4.0
3.58,25.16,4.0
15.41,68.44,4.0
9.85,58.72,4.0
12.63,71.85,4.0
16.79,84.29,4.0
9.22,53.04,4.0
9.96,46.0,4.0
13.59,66.55,4.0
13.02,62.84,4.0
5.38,33.14,4.0
1.35,5.57,4.0
15.43,77.39,4.0
9.62,47.69,4.0
6.58,40.35,4.0
10.21,46.37,4.0
5.27,26.54,4.0
6.21,37.45,4.0
12.54,69.9,4.0
11.15,56.6,4.0
6.37,34.73,4.0
7.9,48.08,4.0
5.16,27.21,4.0
11.64,65.28,4.0
3.23,26.75,4.0
11.96,61.38,4.0
16.52,84.05,4.0
3.13,10.94,4.0
14.69,78.65,4.0
8.17,47.67,4.0
15.57,83.98,4.0
16.08,76.23,4.0
15.72,86.57,4.0
11.85,69.08,4.0
13.29,70.74,4.0
12.93,63.68,4.0
8.51,40.9,4.0
10.27,54.26,4.0
10.03,46.82,4.0
0.74,1.73,4.0
14.16,72.16,4.0
12.41,60.83,4.0
15.56,76.57,4.0
9.19,43.81,4.0
7.6,44.65,4.0
5.84,26.65,4.0
11.14,58.82,4.0
1.68,9.6,4.0
12.63,66.97,4.0
18.89,95.61,4.0
17.82,91.41,4.0
17.57,89.98,4.0
6.9,36.46,4.0
14.06,75.57,4.0
10.55,59.71,4.0
13.19,66.57,4.0
5.37,31.22,4.0
12.16,53.44,4.0
0.96,7.73,4.0
13.91,72.29,4.0
5.99,32.44,4.0
3.31,15.97,4.0
6.65,38.55,4.0
3.31,17.56,4.0
18.29,89.83,4.0
5.68,35.0,4.0
2.15,17.27,4.0
2.34,8.72,4.0
15.11,77.34,4.0
16.78,82.64,4.0
0.71,13.37,4.0
2.43,18.66,4.0
17.82,96.11,4.0
10.3,50.32,4.0
18.49,100.52,4.0
11.62,59.97,4.0
15.47,81.68,4.0
8.45,47.0,4.0
16.51,87.37,4.0
7.71,40.03,4.0
7.09,41.59,4.0
8.56,44.77,4.0
7.9,46.23,4.0
16.89,81.89,4.0
7.48,37.77,4.0
7.43,42.96,4.0
8.32,40.75,4.0
8.49,49.27,4.0
13.26,73.39,4.0
3.8,24.95,4.0
14.45,73.61,4.0
5.07,30.66,4.0
19.25,100.92,4.0
2.65,18.34,4.0
16.14,77.81,4.0
7.1,36.11,4.0
1.69,23.53,4.0
14.62,74.8,4.0
19.93,100.36,4.0
0.19,0.69,4.0
4.75,29.15,4.0
9.24,47.71,4.0
15.31,81.3,4.0
19.45,102.31,4.0
18.32,97.63,4.0
11.75,63.37,4.0
8.89,39.91,4.0
8.82,48.56,4.0
13.88,73.94,4.0
14.53,78.9,4.0
14.69,78.77,4.0
7.68,38.98,4.0
18.91,98.47,4.0
15.87,76.88,4.0
5.16,35.9,4.0
12.73,68.27,4.0
16.9,88.13,4.0
0.16,4.42,4.0
1.54,8.52,4.0
19.79,98.55,4.0
15.82,83.99,4.0
14.74,78.22,4.0
17.33,85.83,4.0
4.62,21.65,4.0
2.11,11.86,4.0
14.86,76.61,4.0
9.5,56.57,4.0
15.19,83.9,4.0
9.72,50.05,4.0
5.52,30.18,4.0
7.64,42.11,4.0
13.52,78.33,4.0
14.73,72.95,4.0
19.41,101.52,4.0
13.63,73.53,4.0
9.81,60.35,4.0
2.57,15.59,4.0
10.08,55.41,4.0
8.19,41.39,4.0
5.11,30.14,4.0
12.36,62.81,4.0
17.9,91.74,4.0
13.35,66.61,4.0
11.52,59.63,4.0
12.97,76.58,4.0
19.22,93.47,4.0
17.29,87.83,4.0
15.65,85.37,4.0
6.22,30.72,4.0
5.44,24.29,4.0
19.15,98.99,4.0
10.33,62.62,4.0
8.35,46.49,4.0
12.78,69.24,4.0
13.79,69.28,4.0
15.37,79.87,4.0
